Move Range,K,Q,R,B,N,P
1-20,4.40,8.10,1.75,17.48,21.53,46.74
21-40,9.18,16.59,9.50,17.59,21.61,25.53
41-60,14.65,18.99,21.23,12.64,14.49,18.01
61-80,24.84,16.79,24.10,7.81,8.57,17.90
81-100,36.78,15.79,18.76,4.77,4.92,18.98
101-120,46.11,20.81,13.10,2.99,2.85,14.14
121-140,44.29,31.56,13.81,2.16,2.52,5.66
141-160,0.00,0.00,0.00,0.00,0.00,0.00
161-180,0.00,0.00,0.00,0.00,0.00,0.00
181-200,0.00,0.00,0.00,0.00,0.00,0.00
201-220,0.00,0.00,0.00,0.00,0.00,0.00
221-240,0.00,0.00,0.00,0.00,0.00,0.00
241-260,0.00,0.00,0.00,0.00,0.00,0.00
